Weather,City Name,City ID
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Garlitos,2517322
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Vyazemskiy,2013229
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Skyros,8133975
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Contes,3023842
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Beaufort,4454370
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Metterich,2871549
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Chalais,2661229
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Hayes,3490106
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Jarzt,2895148
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Poveda,6355788
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Chongdui,1281484
"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",Akumal,3533116
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Matanza,3675118
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",Ūst'-Talovka,1517610
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Plöwen,2853111
"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",Río Abajo,4567732
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Albion,4956545
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Hautes-Alpes,3013738
"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11d'}]",Gemeente Rotterdam,2747890
"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11d'}]",Saint-Privat-la-Montagne,2977323
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Roeland Park,4278272
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",São Manços,2263292
"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",Innerthal,7286140
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Maïs Gâté,3721718
"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",Farmsen-Berne,7932386
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Peenemünde,2855091
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Sartajada,6361819
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Beetzendorf,2951522
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Gemeente Leusden,2751688
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",Prien,4338068
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Montigny-en-Ostrevent,6617197
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Jiahu,1806491
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",Ellenstedt,2931047
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Plodio,6534380
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Shanxia,1921281
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Heilhausen,2907657
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Avinyonet de Puigventós,3129129
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Offstein,6555448
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Grande Saline,3724432
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Valtierra,3106430
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",Zhizhong,1784480
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Oberderdingen,2861116
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Sala Consilina,3168699
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Radinghem-en-Weppes,2984583
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Zafar,1512287
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Bulata,1722941
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Almecatla,3518543
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",San Vittore del Lazio,3167174
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Manchester Center,5238321
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Zgornja Kungota,3186538
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Ruggell,3042046
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Kleczew,3096160
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",Baiyun,1817224
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Juncal,2267310
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Waldrohrbach,2814821
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",Concepcion,1716996
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",Xiantan,1790376
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Quesada,3590987
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Burgfarrnbach,2941333
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Bolivar,4377835
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",Bayang,1725844
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Essen,2798615
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",Byrum,2623199
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Būgai,594562
"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",Kazar’,551407
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Guttau,6548612
"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",Liberty,1706658
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Avesta,2724231
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Natagaima,3674010
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Antey-Saint-André,3183030
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Villalbilla de Burgos,3105500
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Jászalsószentgyörgy,719656
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Boulevardo Tomas de Castro II,4562946
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Simpsonville,4308453
"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",Iwaniska,770772
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Couvin,2800026
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",Dačice,3077304
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Greater Poland Voivodeship,3337498
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",Beernem,2802438
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","Corrales de Buelna, Los",6360672
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Lake Magdalene,4161313
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Changqing,1815585
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",Eschau,3019817
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Piúma,3453435
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",Yangling,1787458
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",Orem,5779334
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Helmarshausen,2906754
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",Ari,3182856
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",Mos,3116057
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",Bac Kan,1591538
